Department,Category,AccountCode,AccountName,     BudgetAmount     ,Period
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/07/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/07/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/07/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/07/2016
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/07/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/08/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/08/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/08/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/08/2016
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/08/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/09/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/09/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/09/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/09/2016
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/09/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/10/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/10/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/10/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/10/2016
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/10/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"24,000.00",01/11/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"12,000.00",01/11/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"38,000.00",01/11/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"37,000.00",01/11/2016
ROSES,INDIRECT COST,601008,WORKERS WELFARE,"80,000.00",01/11/2016
ADMINISTRATION,INDIRECT COST,601008,WORKERS WELFARE,"40,000.00",01/12/2016
GENERAL MAINTENANCE,INDIRECT COST,601008,WORKERS WELFARE,"42,000.00",01/12/2016
HYPERICUM,INDIRECT COST,601008,WORKERS WELFARE,"151,000.00",01/12/2016
PACKHOUSE,INDIRECT COST,601008,WORKERS WELFARE,"146,000.00",01/12/2016
