Period,Currency Code,Currency,Value, Budget Exchange Rate 
31/07/2016,2,USD,101.38893,110
31/07/2016,3,EURO,112.3919,110
31/07/2016,4,GBP,133.5239,110
31/08/2016,2,USD,101.3589,110
31/08/2016,3,EURO,113.0803,110
31/08/2016,4,GBP,132.8839,110
30/09/2016,2,USD,101.2617,110
30/09/2016,3,EURO,113.6544,110
30/09/2016,4,GBP,131.6378,110
31/10/2016,2,USD,101.4586,110
31/10/2016,3,EURO,111.1267,110
31/10/2016,4,GBP,130.6376,110
30/11/2016,2,USD,101.8769,110
30/11/2016,3,EURO,108.0708,110
30/11/2016,4,GBP,127.1036,110
31/12/2016,2,USD,102.48582,110
31/12/2016,3,EURO,107.0606,110
31/12/2016,4,GBP,125.4178,110
31/01/2017,2,USD,103.9556,110
31/01/2017,3,EURO,111.1583,110
31/01/2017,4,GBP,130.0867,110
28/02/2017,2,USD,103.3417,110
28/02/2017,3,EURO,109.4728,110
28/02/2017,4,GBP,128.4036,110
31/03/2017,2,USD,103,110
31/03/2017,3,EURO,110.5636,110
31/03/2017,4,GBP,128.8314,110
30/04/2017,2,USD,103.1478,110
30/04/2017,3,EURO,112.44307,110
30/04/2017,4,GBP,133.1903,110
31/05/2017,2,USD,103.3811,110
31/05/2017,3,EURO,115.6269,110
31/05/2017,4,GBP,133.0617,110
30/06/2017,2,USD,103.7117,110
30/06/2017,3,EURO,118.3108,110
30/06/2017,4,GBP,134.5986,110
31/07/2017,2,USD,103.9111,110
31/07/2017,3,EURO,121.7972,110
31/07/2017,4,GBP,136.20396,110
31/08/2017,2,USD,103.1433,110
31/08/2017,3,EURO,123.0122,110
31/08/2017,4,GBP,133.2169,110
30/09/2017,2,USD,103.2472,110
30/09/2017,3,EURO,121.6703,110
30/09/2017,4,GBP,138.6114,110
31/10/2017,2,USD,103.6944,110
31/10/2017,3,EURO,120.275,110
31/10/2017,4,GBP,136.6483,110
30/11/2017,2,USD,103.2533,110
30/11/2017,3,EURO,122.4222,110
30/11/2017,4,GBP,138.3797,110
31/12/2017,2,USD,103.2317,110
31/12/2017,3,EURO,123.2797,110
31/12/2017,4,GBP,138.7531,110
31/01/2018,2,USD,102.3572,110
31/01/2018,3,EURO,127.2392,110
31/01/2018,4,GBP,144.6625,110
28/02/2018,2,USD,101.6167,110
28/02/2018,3,EURO,125.0211,110
28/02/2018,4,GBP,141.5794,110
31/03/2018,2,USD,100.8472,110
31/03/2018,3,EURO,124.7408,110
31/03/2018,4,GBP,142.3133,110
30/04/2018,2,USD,100.3611,110
30/04/2018,3,EURO,121.3281,110
30/04/2018,4,GBP,138.3147,110
31/05/2018,2,USD,101.5658,110
31/05/2018,3,EURO,117.2144,110
31/05/2018,4,GBP,134.645,110
30/06/2018,2,USD,101.05,110
30/06/2018,3,EURO,116.8572,110
30/06/2018,4,GBP,132.0969,110
31/07/2018,2,USD,100.4083,115
31/07/2018,3,EURO,117.4831,115
31/07/2018,4,GBP,131.8261,115
31/08/2018,2,USD,100.6456,115
31/08/2018,3,EURO,117.3878,115
31/08/2018,4,GBP,130.9175,115
30/09/2018,2,USD,100.9556,115
30/09/2018,3,EURO,117.8828,115
30/09/2018,4,GBP,132.4872,115
31/10/2018,2,USD,101.8472,115
31/10/2018,3,EURO,115.6103,115
31/10/2018,4,GBP,129.9103,115
30/11/2018,2,USD,102.5444,115
30/11/2018,3,EURO,116.7842,115
30/11/2018,4,GBP,131.0458,115
31/12/2018,2,USD,101.8461,115
